Sign,ID,Description
,AAA,[1018] Reference number assigned by the seller to his acknowledgement of an order.
,AAB,[1088] Reference number assigned by the seller to a Proforma Invoice.
,AAC,[1172] Reference number assigned by issuing bank to a Documentary credit.
,AAD,[1318] Reference number assigned by the issuer to a Contract Addendum.
,AAE,Reference number assigned to a goods declaration.
,AAG,Reference number assigned by issuing party to an offer.
,AAJ,Reference number assigned by issuer to a delivery order.
,AAK,Reference number assigned by issuing party to a despatch advice.
,AAL,Reference number identifying a specific product drawing.
,AAM,Reference number assigned to a waybill see: 1001 = 700.
,AAN,Reference number assigned by buyer to a delivery schedule.
,AAO,[1362] Reference assigned by the consignee to a shipment.
,AAP,[1310] Reference to a specific consignment forming part of a contract allowing part deliveries.
,AAQ,[8260] Marks (letters and/or numbers) which identify a unit load device e.g. freight container.
,AAS,[1188] Reference assigned by the carrier or his agent to the transport document.
,AAT,Identifies the master label number of any package type.
,AAU,[1128] Reference number assigned by the seller to a Despatch Note.
,AAV,Reference number assigned to an enquiry.
,AAY,Reference number assigned by the carriers agent to a transaction.
,AAZ,For maritime shipments this code qualifies a Standard Alpha Carrier Code (SCAC) as issued by the United Stated National Motor Traffic Association Inc.
,ABA,Reference by an importing party to a previous decision made by a Customs administration regarding the valuation of goods.
,ABB,Reference issued by a Customs administration authorizing a preferential rate of duty if a product is used for a specified purpose see: 1001 = 990.
,ABC,Reference issued by a Customs administration pertaining to a past or current investigation of goods \"dumped\" at a price lower than the exporter's domestic market price.
,ABD,[7282] Code number of the goods in accordance with the tariff nomenclature system of classification in use where the Customs declaration is made.
,ABE,Unique reference number assigned to a document or a message by the declarant for identification purposes.
,ABG,Reference issued by Customs pertaining to a pending tariff classification decision requested by an importer or agent.
,ABH,Reference assigned to a sub-house bill of lading.
,ABI,[1168] Reference or indication of the deferred payment of duty/tax.
,ABJ,Reference number allocated by a government authority to identify a quota.
,ABK,Reference number to identify the guarantee or security provided for Customs transit operation (CCC).
,ABL,Reference assigned to a Customs guarantee.
,ABM,New part number which replaces the existing part number.
,ABN,Identification number assigned to a seller's catalogue.
,ABO,Self explanatory.
,ABP,Reference to the party whose posted bond or security is being declared in order to accept responsibility for a goods declaration and the applicable duties and taxes.
,ABQ,Reference number assigned by the importer to identify a particular shipment for his own purposes.
,ABR,Reference number of the clearance instructions given by the consignor through different means.
,ABS,Reference number of the import clearance instructions given by the consignor/consignee through different means.
,ABT,[1426] Number assigned or accepted by Customs to identify a Goods declaration.
,ABU,Self explanatory.
#,ABV,To define routing within a plant.
,ABW,Self explanatory.
,ABX,The reference used within a given TEI (Text Element Identifier) which is to be deleted.
,ABY,Reference assigned to guarantied capacity on one or more specific flights on specific date(s) to third parties as agents and other airlines.
,ABZ,Number of the licence issued for a vehicle by an agency of government.
,AC,Description to be provided.
,ACA,Reference assigned to the cargo acceptance order.
,ACB,Description to be provided.
,ACC,Identifying marks on the outermost unit that is used to transport merchandise.
,ACD,Reference number provided in addition to another given reference.
|,ACE,Reference number identifying a related document.
,ACF,Description to be provided.
,ACG,Reference number assigned to an ATA carnet.
,ACH,Identifying marks on packing units.
,ACI,(7070) Identifying marks on packing units contained within an outermost shipping unit.
,ACJ,Number for a material specification given by customer.
,ACK,Cross reference issued by financial institution.
,ACL,Description to be provided.
,ACM,Description to be provided.
,ACN,[1030] Number of the Advice of Collection attached to the Rail Consignment Note (CIM 75).
,ACO,Number attributed to the iron charge for the production of steel products.
,ACP,Number attributed to a hot roll coil.
,ACQ,Number attributed to a cold roll coil.
,ACR,(8320) Registered identification initials and numbers of railway wagon. Synonym: Rail car number.
,ACS,Description to be provided.
,ACT,Description to be provided.
,ACU,To reference to the unique number that is assigned to each major loss hitting the reinsurance industry.
,ACV,Reference number assigned by the ordering party of the estimate order.
,ACW,Reference number assigned to the message which was previously issued (e.g. in the case of a cancellation the primary reference of the message to be cancelled will be quoted in this element).
,ACX,Reference number for banker's acceptance issued by the accepting financial institution.
,ACY,Reference number assigned by customs to a duty memo.
,ACZ,Reference assigned to a specific equipment transportation charge.
,ADA,Reference number assigned by the buyer to an item.
,ADB,Reference number for certificate of deposit allocated by issuing financial institution.
,ADC,Reference number for loan allocated by lending financial institution.
,ADD,Number given to a specific analysis or test operation.
,ADE,Identification number of an account.
,ADF,Self explanatory.
,ADG,Self explanatory.
,ADH,Description to be provided.
,ADI,Description to be provided.
,ADJ,Description to be provided.
,ADK,Description to be provided.
,ADL,Reference number assigned to the consignment by the ordering customer.
,ADM,Reference number assigned by the shipowner as an authorization number to transport certain goods (such as hazardous goods cool or reefer goods).
,ADN,Reference number assigned by the principal to the transport order for inland carriage.
,ADO,Reference number assigned by the principal to the work order for a (set of) container(s).
