CommonCode,Name,Description,Symbol,Annex,Alias,Active
C62,one,Synonym: unit,1,1,C62_ONE,1
84,A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch (common code N20).,A unit of pressure defining the number of kilopounds force per square inch.,klbf/in^2,1,A_UNIT_OF_PRESSURE_DEFINING_THE_NUMBER_OF_KILOPOUNDS_FORCE_PER_SQUARE_INCH_USE_KIP_PER_SQUARE_INCH_COMMON_CODE_N20_84,0
AL,access line,A unit of count defining the number of telephone access lines.,,2,ACCESS_LINE_AL,1
E50,accounting unit,A unit of count defining the number of accounting units.,,2,ACCOUNTING_UNIT_E50,1
ACR,acre,,acre,1,ACRE_ACR,1
M67,acre_foot (based on U.S. survey foot),Unit of the volume which is used in the United States to measure/gauge the capacity of reservoirs.,acre_ft (US survey),1,ACRE_FOOT_BASED_ON_US_SURVEY_FOOT_M67,0
E25,active unit,A unit of count defining the number of active units within a substance.,,2,ACTIVE_UNIT_E25,1
ACT,activity,A unit of count defining the number of activities (activity: a unit of work or action).,,2,ACTIVITY_ACT,1
M37,actual 360,A unit of count defining the number of years expressed in multiples of 360 days one day equals 24 hours.,y (360 days),2,ACTUAL_360_M37,1
26,actual ton,,,2,ACTUAL_TON_26,1
AH,additional minute,A unit of time defining the number of minutes in addition to the referenced minutes.,,2,ADDITIONAL_MINUTE_AH,1
MD,air dry metric ton,A unit of count defining the number of metric tons of a product disregarding the water content of the product.,,2,AIR_DRY_METRIC_TON_MD,1
E28,air dry ton,A unit of mass defining the number of tons of a product disregarding the water content of the product.,,2,AIR_DRY_TON_E28,1
ASM,alcoholic strength by mass,A unit of mass defining the alcoholic strength of a liquid.,,2,ALCOHOLIC_STRENGTH_BY_MASS_ASM,1
ASU,alcoholic strength by volume,A unit of volume defining the alcoholic strength of a liquid (e.g. spirit wine beer etc) often at a specific temperature.,,2,ALCOHOLIC_STRENGTH_BY_VOLUME_ASU,1
AP,aluminium pound only,,,2,ALUMINIUM_POUND_ONLY_AP,1
AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter od hypodermic or suture needles.,AWG,1,AMERICAN_WIRE_GAUGE_AWG,0
AMP,ampere,,A,1,AMPERE_AMP,0
AMH,ampere hour,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.,A*h,1,AMPERE_HOUR_AMH,0
N95,ampere minute,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one minute..,A*min,1,AMPERE_MINUTE_N95,0
A2,ampere per centimetre,,A/cm,1,AMPERE_PER_CENTIMETRE_A2,0
H31,ampere per kilogram,,A/kg,1,AMPERE_PER_KILOGRAM_H31,0
AE,ampere per metre,,A/m,1,AMPERE_PER_METRE_AE,0
A3,ampere per millimetre,,A/mm,1,AMPERE_PER_MILLIMETRE_A3,0
N93,ampere per pascal,SI base unit ampere divided by the derived SI unit pascal.,A/Pa,1,AMPERE_PER_PASCAL_N93,0
A4,ampere per square centimetre,,A/cm^2,1,AMPERE_PER_SQUARE_CENTIMETRE_A4,0
A41,ampere per square metre,,A/m^2,1,AMPERE_PER_SQUARE_METRE_A41,0
A6,ampere per square metre kelvin squared,,A/(m^2*K^2),1,AMPERE_PER_SQUARE_METRE_KELVIN_SQUARED_A6,0
A7,ampere per square millimetre,,A/mm^2,1,AMPERE_PER_SQUARE_MILLIMETRE_A7,0
A8,ampere second,,A*s,1,AMPERE_SECOND_A8,0
A5,ampere square metre,,A*m^2,1,AMPERE_SQUARE_METRE_A5,0
A10,ampere square metre per joule second,,A*m^2/(J*s),1,AMPERE_SQUARE_METRE_PER_JOULE_SECOND_A10,0
H32,ampere squared second,,A^2*s,1,AMPERE_SQUARED_SECOND_H32,0
73,ampere tum per centimetre,,,2,AMPERE_TUM_PER_CENTIMETRE_73,1
AM,ampoule,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,AMPOULE_AM,1
A11,angstrom,,Å,1,ANGSTROM_A11,0
AQ,anti_hemophilic factor (AHF) unit,A unit of measure for blood potency (US).,,2,ANTI_HEMOPHILIC_FACTOR_AHF_UNIT_AQ,1
ARE,are,Synonym: square decametre,a,1,ARE_ARE,0
AY,assembly,A unit of count defining the number of assemblies (assembly: items that consist of component parts).,,2,ASSEMBLY_AY,1
AS,assortment,A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).,,2,ASSORTMENT_AS,1
A12,astronomical unit,,ua,1,ASTRONOMICAL_UNIT_A12,0
H48,attofarad,,aF,1,ATTOFARAD_H48,0
A13,attojoule,,aJ,1,ATTOJOULE_A13,0
