Code,Value
vatex_eu_132_1a,vatex-eu-132-1a
vatex_eu_132_1b,vatex-eu-132-1b
vatex_eu_132_1c,vatex-eu-132-1c
vatex_eu_132_1d,vatex-eu-132-1d
vatex_eu_132_1e,vatex-eu-132-1e
vatex_eu_132_1f,vatex-eu-132-1f
vatex_eu_132_1g,vatex-eu-132-1g
vatex_eu_132_1h,vatex-eu-132-1h
vatex_eu_132_1i,vatex-eu-132-1i
vatex_eu_132_1j,vatex-eu-132-1j
vatex_eu_132_1k,vatex-eu-132-1k
vatex_eu_132_1l,vatex-eu-132-1l
vatex_eu_132_1m,vatex-eu-132-1m
vatex_eu_132_1n,vatex-eu-132-1n
vatex_eu_132_1o,vatex-eu-132-1o
vatex_eu_132_1p,vatex-eu-132-1p
vatex_eu_132_1q,vatex-eu-132-1q
vatex_eu_143_1a,vatex-eu-143-1a
vatex_eu_143_1b,vatex-eu-143-1b
vatex_eu_143_1c,vatex-eu-143-1c
vatex_eu_143_1d,vatex-eu-143-1d
vatex_eu_143_1e,vatex-eu-143-1e
vatex_eu_143_1f,vatex-eu-143-1f
vatex_eu_143_1fa,vatex-eu-143-1fa
vatex_eu_143_1g,vatex-eu-143-1g
vatex_eu_143_1h,vatex-eu-143-1h
vatex_eu_143_1i,vatex-eu-143-1i
vatex_eu_143_1j,vatex-eu-143-1j
vatex_eu_143_1k,vatex-eu-143-1k
vatex_eu_143_1l,vatex-eu-143-1l
vatex_eu_309,vatex-eu-309
vatex_eu_148_a,vatex-eu-148-a
vatex_eu_148_b,vatex-eu-148-b
vatex_eu_148_c,vatex-eu-148-c
vatex_eu_148_d,vatex-eu-148-d
vatex_eu_148_e,vatex-eu-148-e
vatex_eu_148_f,vatex-eu-148-f
vatex_eu_148_g,vatex-eu-148-g
vatex_eu_151_1a,vatex-eu-151-1a
vatex_eu_151_1aa,vatex-eu-151-1aa
vatex_eu_151_1b,vatex-eu-151-1b
vatex_eu_151_1c,vatex-eu-151-1c
vatex_eu_151_1d,vatex-eu-151-1d
vatex_eu_151_1e,vatex-eu-151-1e
vatex_eu_g,vatex-eu-g
vatex_eu_o,vatex-eu-o
vatex_eu_ic,vatex-eu-ic
vatex_eu_ae,vatex-eu-ae
vatex_eu_d,vatex-eu-d
vatex_eu_f,vatex-eu-f
vatex_eu_i,vatex-eu-i
vatex_eu_j,vatex-eu-j
