ID,Description,TargetOrContext,BusinessTermOrGroup,JavaClass,BGPath,ConditionPath,Param1,Param2,Active
BR-1,An Invoice shall have a Specification identification.,Process control,BT-24,ShallContainRule,/BG0002/BT0024,,,,1
BR-2,An Invoice shall have an Invoice number.,Invoice,BT-1,ShallContainRule,/BT0001,,,,1
BR-3,An Invoice shall have an Invoice issue date.,Invoice,BT-2,ShallContainRule,/BT0002,,,,1
BR-4,An Invoice shall have an Invoice type code.,Invoice,BT-3,ShallContainRule,/BT0003,,,,1
BR-5,An Invoice shall have an Invoice currency code.,Invoice,BT-5,ShallContainRule,/BT0005,,,,1
BR-6,An Invoice shall contain Seller name.,Seller,BT-27,ShallContainRule,/BG0004/BT0027,,,,1
BR-7,An Invoice shall contain Buyer name.,Buyer,BT-44,ShallContainRule,/BG0007/BT0044,,,,1
BR-8,An Invoice shall contain the Seller postal address.,Seller,BG-5,ShallContainRule,/BG0004/BG0005,,,,1
BR-9,A Seller postal address shall contain a Seller country code,Seller Postal Address,BT-40,ShallContainRule,/BG0004/BG0005/BT0040,,,,1
BR-10,An Invoice shall contain the Buyer postal address.,Buyer,BG-8,ShallContainRule,,,,,0
BR-11,A Buyer postal address shall contain a Buyer country code,Buyer Postal Address,BT-55,ShallContainRule,,,,,0
BR-12,An Invoice shall have the Sum of Invoice line net amount.,Document totals,BT-106,ShallContainRule,,,,,0
BR-13,An Invoice shall have the Invoice total amount without VAT.,Document totals,BT-109,ShallContainRule,,,,,0
BR-14,An Invoice shall have the Invoice total amount with VAT.,Document totals,BT-112,ShallContainRule,,,,,0
BR-15,An Invoice shall have the Amount due for payment.,Document totals,BT-115,ShallContainRule,,,,,0
BR-16,An Invoice shall have at least one Invoice line.,Invoice,BG-25,CardinalityRule,/BG0025,,1,null,1
BR-17,"The Payee name shall be provided in the Invoice, if the Payee is different from the Seller.",Payee,BT-59,,,,,,0
BR-18,"The Seller tax representative name shall be provided in the Invoice, if the Seller has a tax representative party.",Seller tax representative,BT-62,,,,,,0
BR-19,"The Seller tax representative postal address shall be provided in the Invoice, if the Seller has a tax representative party.",Seller tax representative,BG-12,,,,,,0
BR-20,"The Seller tax representative postal address shall contain a Tax representative country code, if the Seller has a tax representative party.",Seller tax representative postal address,BT-69,,,,,,0
BR-21,Each Invoice line shall have an Invoice line identifier.,Invoice Line,BT-126,ShallContainRule,,,,,0
BR-22,Each Invoice line shall have an Invoiced quantity.,Invoice Line,BT-129,ShallContainRule,,,,,0
BR-23,An invoice line shall have an Invoice quantity unit of measure.,Invoice Line,BT-130,ShallContainRule,,,,,0
BR-24,Each Invoice line shall have an Invoice line net amount.,Invoice Line,BT-131,ShallContainRule,,,,,0
BR-25,Each Invoice line shall contain the Item name.,Item information,BT-153,ShallContainRule,,,,,0
BR-26,Each Invoice line shall contain the Item net price.,Price details,BT-146,ShallContainRule,,,,,0
BR-27,The Item net price shall NOT be negative.,Item net price,BT-146,,,,,,0
BR-28,Invoice line item gross price shall NOT be negative.,Price details,BT-148,,,,,,0
BR-29,If both Invoicing period start date and Invoicing period end date are given then the Invoicing period end date shall be later or equal to the Invoicing period start date.,Invoicing Period,BT-74,,,,,,0
BR-30,If both Invoice line period start date and Invoice line period end date are given then the Invoice line period end date shall be later or equal to the Invoice line period start date.,Invoice Line Period,BT-135,,,,,,0
BR-31,Each document level allowance shall have a Document level allowance amount.,Document level allowances,BT-92,ShallContainRule,,,,,0
BR-32,Each document level allowance shall have a Document level allowance VAT category code.,Document level allowances,BT-95,ShallContainRule,,,,,0
BR-33,Each document level allowance shall have a Document level allowance reason or a Document level allowance reason code.,Document level allowances,"BT-97, BT-98",ShallContainRule,,,,,0
BR-36,Each document level charge shall have a Document level charge amount.,Document level charges,BT-99,ShallContainRule,,,,,0
BR-37,Each document level charge shall have a Document level charge VAT category code.,Document level charges,BT-102,ShallContainRule,,,,,0
BR-38,Each document level charge shall have a Document level charge reason or a Document level charge reason code.,Document level charges,"BT-104, BT-105",,,,,,0
BR-41,Each Invoice line allowance shall have an Invoice line allowance amount.,Invoice line allowances,BT-136,ShallContainRule,,,,,0
BR-42,Each Invoice line allowance shall have an Invoice line allowance reason or an Invoice line allowance reason code.,Invoice line allowances,"BT-144, BT-145",ShallContainRule,,,,,0
BR-43,Each Invoice line charge shall have an Invoice line charge amount.,Invoice line charges,BT-141,,,,,,0
BR-44,Each Invoice line charge shall have an Invoice line charge reason or an Invoice line charge reason code.,Invoice line charges,"BT-139, BT-140",,,,,,0
BR-45,Each VAT breakdown shall have a VAT category taxable amount.,VAT breakdown,BT-116,ShallContainRule,,,,,0
BR-46,Each VAT breakdown shall have a VAT category tax amount.,VAT breakdown,BT-117,ShallContainRule,,,,,0
BR-47,Each VAT breakdown shall be defined through a VAT category code.,VAT breakdown,BT-118,ShallContainRule,,,,,0
BR-48,"Each VAT breakdown shall have a VAT category rate, except if the Invoice is not subject to VAT.",VAT breakdown,BT-119,,,,,,0
BR-49,A payment instruction shall specify the Payment means type code.,Payment instructions,BT-81,ShallContainRule,,,,,0
