IdNormalized,OrderInCEN,IdSanitized,IdNative,SubOrder,BtOrBg,Index,Level,Cardinality,BusinessTerm,Description,UsageNote,ReqId,SemanticDataType,AttributeFQNForBasicAttributes,AttributeFQNForCodes,AttributeFQN,BTBGClassName
BT-0035,39,BT-35, BT-35,,BT,35,+++,0..1,Seller address line 1,The main address line in an address.,Usually the street name and number or post office box.,R53,Text,java.lang.String,,java.lang.String,BT0035SellerAddressLine1
BT-0036,40,BT-36, BT-36,,BT,36,+++,0..1,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line., ,R53,Text,java.lang.String,,java.lang.String,BT0036SellerAddressLine2
BT-0037,42,BT-37, BT-37,,BT,37,+++,0..1,Seller city,"The common name of the city, town or village, where the Seller address is located.", ,R53,Text,java.lang.String,,java.lang.String,BT0037SellerCity
BT-0001,1,BT-1,BT-1,,BT,1,+,1..1,Invoice number,A unique identification of the Invoice.,"The sequential number required in Article 226(2) of the directive 2006/112/EC [2], to uniquely identify the Invoice within the business context, time-frame, operating systems and records of the Seller. It may be based on one or more series of numbers, which may include alphanumeric characters. No identification scheme is to be used.",R56,Identifier,java.lang.String,,java.lang.String,BT0001InvoiceNumber
BT-0002,2,BT-2,BT-2,,BT,2,+,1..1,Invoice issue date,The date when the Invoice was issued., ,R56,Date,java.time.LocalDate,,java.time.LocalDate,BT0002InvoiceIssueDate
BT-0003,3,BT-3,BT-3,,BT,3,+,1..1,Invoice type code,A code specifying the functional type of the Invoice.,"Commercial invoices and credit notes are defined according the entries in UNTDID 1001 [6].
Other entries of UNTDID 1001 [6] with specific invoices or credit notes may be used if applicable.",R44,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid1001InvoiceTypeCode,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid1001InvoiceTypeCode,BT0003InvoiceTypeCode
BT-0005,4,BT-5,BT-5,,BT,5,+,1..1,Invoice currency code,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.","Only one currency shall be used in the Invoice, except for the Total VAT amount in accounting currency (BT-111) in accordance with article 230 of Directive 2006/112/EC on VAT.
The lists of valid currencies are registered with the ISO 4217 Maintenance Agency ""Codes for the representation of currencies and funds"".","R54, R47",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso4217CurrenciesFundsCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso4217CurrenciesFundsCodes,BT0005InvoiceCurrencyCode
BT-0006,5,BT-6,BT-6,,BT,6,+,0..1,VAT accounting currency code,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,"Shall be used in combination with the Total VAT amount in accounting currency (BT-111) when the VAT accounting currency code differs from the Invoice currency code.
The lists of valid currencies are registered with the ISO 4217 Maintenance Agency ""Codes for the representation of currencies and funds"". Please refer to Article 230 of the Council Directive 2006/112/EC [2] for more information.",R54,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso4217CurrenciesFundsCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso4217CurrenciesFundsCodes,BT0006VatAccountingCurrencyCode
BT-0007,6,BT-7,BT-7,,BT,7,+,0..1,Value added tax point date,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.","The tax point is usually the date goods were supplied or services completed (the 'basic tax point'). There are some variations. Please refer to Article 226 (7) of the Council Directive 2006/112/EC [2] for more information.
This element is required if the Value added tax point date is different from the Invoice issue date.
Both Buyer and Seller should use the Tax Point Date when provided by the Seller.",R45,Date,java.time.LocalDate,,java.time.LocalDate,BT0007ValueAddedTaxPointDate
BT-0008,7,BT-8,BT-8,,BT,8,+,0..1,Value added tax point date code,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,"The code shall distinguish between the following entries of UNTDID 2005 [6]:
- Invoice date
- Delivery date
- Payment date
The Value added tax point date code is used if the Value added tax point date is not known when the invoice is issued. The use of BT-8 and BT-7 is mutually exclusive.",R45,Code,,Untdid2005DateTimePeriodQualifiers,Untdid2005DateTimePeriodQualifiers,BT0008ValueAddedTaxPointDateCode
