PlusSign,Code,ShortDesc,LongDesc
,AA,Advertising allowance,Description to be provided.
,AAA,Telecommunication charges,Self-explanatory.
,AAB,Returned goods charges,Self-explanatory.
,AAC,Modification costs,Costs for technical modifications to a product.
,AAD,Job-order production,Costs of job-order production only used in invoices.
,AAE,Outlays,Outlays incurred in the company's interest for an installation order.
,AAF,Off-premises surcharge,Expenses on top of service-rates for non-local activities.
,AAG,Gold surcharge,Difference between current price and basic value contained in product price.
,AAH,Processing surcharge,Charging for increased processing costs.
,AAI,Attestation fee,Outlays incurred by official attestation (by public authorities).
,AAJ,Copper surcharge,Difference between current price and basic value contained in product price.
,AAK,Energy surcharge,Surcharge for energy costs.
,AAL,Deduction for missing parts,Deduction for missing parts.
,AAM,Rubber surcharge,Difference between current price and basic value contained in product price.
,AAN,Brass surcharge,Difference between current price and basic value contained in product price.
,AAO,Material surcharge/deduction,Percentage-based surcharge/deduction calculated for higher/ lower material's consumption.
,AAP,Lead surcharge,Difference between current price and basic value contained in product price.
,AAQ,Price index surcharge,Higher/lower price resulting from change in costs between the times of making offer and delivery.
,AAR,Platinum surcharge,Difference between current price and basic value contained in product price.
,AAS,Acceptance cost,Charge for testing.
,AAT,Rush delivery,Charge for increased delivery speed.
,AAU,Selenium surcharge,Difference between current price and basic value contained in product price.
,AAV,Special construction charge,Charge for costs incurred as result of special constructions.
,AAW,Deduction for delayed return,Deduction for delayed return of goods.
,AAX,Wolfram surcharge,Difference between current price and basic value contained in product price.
,AAY,Airport fee,Charge associated with usage of airport facilities.
,AAZ,Concession fee,Fee imposed by an airport to allow used of that facility.
,ABA,Compulsory storage fee,Fee levied to cover the cost of carrying a certain amount of compulsory inventory (set by regulatory agency).
,ABB,Defuel,Remove or off-load fuel from vehicle vessel or craft.
,ABC,Into plane fee,Charge associated with providing goods delivered to an aircraft from local storage.
,ABD,Overtime,Fee charge for service rendered beyond the established limit of working hours.
,ABE,Reservicing charge,Fee for services provided after initial service.
,ABF,Tooling cost,Item or service relates to tooling not direct provision of goods.
,ABG,Tooling charge,Item or service relates to tooling charges not direct provision of goods.
,ABH,Throughput allowance,Allowance for reaching or exceeding an agreed throughput threshold.
,ABI,Superfund fee,Fee imposed for superfund a US-government fund created for the clean-up or eradication of sites at which toxic waste hazardous to the environment has been dumped.
,ABJ,Airport system fee,Fee associated with the use of the hydrant and storage system at an airport.
,ABK,Miscellaneous,The service provided for the stated charge is not defined.
,ABL,Packaging surcharge,Additional charge for packaging of items.
,ABM,Scrap surcharge,Additional charge on an item's price for the cost of constituent scrap.
,ABN,Dunnage charge,A charge incurred to cover the costs of the additional padding materials and labour required to secure and protect a cargo within a shipping container.
,ABO,Air freight transportation,Additional charge on an item's price for air freight transportation.
,ABP,Carriage charge,Additional charge on an item's price for the carriage.
,ABQ,Tonnage rebate,Rebate based on the weight of the goods.
,ABR,Containerisation,Additional charge on an item's price for containerisation.
,ABS,Carton packing,Additional charge on an item's price for carton packing.
,ABT,Hessian wrapped,Additional charge on an item's price for hessian wrapping.
,ABU,Polyethylene wrap packing,Additional charge on an item's price for polyethylene wrap packing.
,ABV,Miscellaneous customs charge,Non-defined customs charge.
,ABW,Customs duty charge,Additional charge on an item's price for customs duty.
,ABX,Miscellaneous special tooling charge,Non-defined additional charge on an item's price for special tooling.
,ABY,Tooling amortisation,Additional charge on an item's price for tooling amortisation.
,ABZ,Miscellaneous rebate or discount,Non-defined rebate or discount.
,ACA,Allowance,Non-defined allowance.
,ACB,Future discount off retail,Expected future discount off retail.
,ACC,Miscellaneous setting costs (tooling),Non-defined additional charge on an item's price for tooling costs.
,ACD,Minimum amount costs for quantity based surcharges,The minimum amount for surcharges that are related to the quantity referred to.
,ACE,Below schedule quantity after quantity-based surcharge,An adjustment made since the quantity was below the quantity-based surcharge.
,ACF,Miscellaneous treatment,Non-defined additional charge on an item's price for treatment.
,ACG,Enamelling treatment,Additional charge on an item's price for enamelling treatment.
,ACH,Heat treatment,Additional charge on an item's price for heat treatment.
,ACI,Plating treatment,Additional charge on an item's price for plating treatment.
,ACJ,Painting,Additional charge on an item's price for painting.
,ACK,Polishing,Additional charge on an item's price for polishing.
,ACL,Priming,Additional charge on an item's price for priming.
,ACM,Preservation treatment,Additional charge on an item's price for preservation treatment.
,ACN,Miscellaneous other surcharges,Non-defined surcharges.
,ACO,Alloy surcharge,Additional charge on an item's price for alloy.
,ACP,Coke surcharge,Additional charge on an item's price for coke.
,ACQ,Royalty surcharge,Additional charge on an item's price for royalty.
,ACR,Wheel handling charge,Additional charge on an item's price for wheel handling.
